row_id,Game Name,Discount,Price,Rating,Release Date
123,Total War: EMPIRE – Definitive Edition,-75%,"R$ 21,24",89.01%,Mar 2009
124,Metro 2033 Redux,-90%,"R$ 9,90",88.97%,Aug 2014
125,Metro: Last Light Redux,-90%,"R$ 9,90",88.80%,Aug 2014
126,Cat God Ranch,-10%,"R$ 29,69",88.77%,Sep 2024
127,Cataclismo,-35%,"R$ 45,49",88.58%,Jul 2024
128,Medieval II: Total War™ Kingdoms,-75%,"R$ 21,24",88.48%,Aug 2007
129,Re: LieF ~ Shin'ainaru Anata e~,-60%,"R$ 26,39",88.47%,Feb 2021
130,Metro Exodus,-90%,"R$ 14,90",88.35%,Feb 2019
131,LUMINES REMASTERED,-70%,"R$ 8,69",88.26%,Jun 2018
132,CaseCracker,-50%,"R$ 10,34",88.10%,Dec 2022
133,Cyber Knights: Flashpoint,-34%,"R$ 58,73",88.05%,Oct 2023
134,Alina of the Arena,-35%,"R$ 18,84",87.99%,Oct 2022
135,The Wandering Village,-25%,"R$ 35,61",87.64%,Sep 2022
136,The Herbalist,-40%,"R$ 7,19",87.63%,Nov 2016
137,Clothing Store Simulator,-25%,"R$ 29,99",87.57%,Jun 2024
138,Monster Hunter: World,-67%,"R$ 32,96",86.92%,Aug 2018
139,Clanfolk,-50%,"R$ 34,99",86.92%,Jul 2022
140,HAAK,-40%,"R$ 20,99",86.75%,Aug 2022
141,To Be or Not to Be,-40%,"R$ 16,13",86.73%,Dec 2022
142,Let's Build a Zoo,-60%,"R$ 15,19",86.28%,Nov 2021
143,HighFleet,-35%,"R$ 37,69",86.01%,Jul 2021
144,Cloudpunk,-65%,"R$ 20,99",85.98%,Apr 2020
145,TrymenT ―献给渴望改变的你― AlphA篇,-68%,"R$ 28,15",85.64%,Feb 2020
146,F.I.S.T.: Forged In Shadow Torch,-65%,"R$ 31,49",85.26%,Oct 2021
147,Choice of Life: Middle Ages,-80%,"R$ 3,39",85.18%,Nov 2020
148,Operation: Tango,-55%,"R$ 34,13",85.12%,Jun 2021
149,Ys I & II Chronicles+,-70%,"R$ 8,39",85.10%,Feb 2013
150,Looking Up I See Only A Ceiling,-25%,"R$ 5,24",85.10%,Mar 2023
151,Corpse Party,-70%,"R$ 8,39",84.93%,Apr 2016
152,DAEMON X MACHINA,-60%,"R$ 37,59",84.65%,Feb 2020
153,Castle Of Alchemists,-55%,"R$ 6,74",84.10%,May 2023
154,Warhammer: Vermintide 2,-95%,"R$ 4,44",83.85%,Mar 2018
155,Red Orchestra: Ostfront 41-45,-60%,"R$ 4,35",83.72%,Mar 2006
156,SHOGUN: Total War™ - Collection,-75%,"R$ 6,24",83.44%,Jun 2000
157,Melon Journey: Bittersweet Memories,-70%,"R$ 14,09",82.95%,Apr 2023
158,Doomsday Paradise,-25%,"R$ 26,24",82.40%,Nov 2023
159,We Were Here Together,-62%,"R$ 15,95",82.34%,Oct 2019
160,SENRAN KAGURA Peach Ball,-70%,"R$ 17,39",82.33%,Aug 2019
161,AKIBA'S TRIP: Undead ＆ Undressed,-60%,"R$ 15,19",82.13%,May 2015
162,Vellum,-30%,"R$ 41,99",82.12%,Mar 2024
163,Corpse Party: Book of Shadows,-50%,"R$ 14,49",82.02%,Oct 2018
164,Total War: ROME II - Emperor Edition,-75%,"R$ 37,49",81.93%,Sep 2013
165,HELLCARD,-33%,"R$ 46,89",81.59%,Feb 2024
166,The Last Friend,-85%,"R$ 4,34",81.44%,Sep 2021
167,SENRAN KAGURA Reflexions,-70%,"R$ 6,20",81.13%,Jun 2019
168,Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,-60%,"R$ 15,19",81.06%,Apr 2019
169,Fairy Bloom Freesia,-60%,"R$ 6,39",80.70%,Oct 2012
170,Total War: ATTILA,-75%,"R$ 28,24",80.58%,Feb 2015
171,It Lurks Below,-55%,"R$ 17,09",80.53%,May 2019
172,No More Heroes 3,-65%,"R$ 37,79",79.48%,Oct 2022
173,Age of Wonders 4,-35%,"R$ 129,99",79.38%,May 2023
174,Kandagawa Jet Girls,-70%,"R$ 22,64",79.16%,Aug 2020
175,Necroking,-33%,"R$ 11,38",78.97%,Sep 2024
176,Ship Graveyard Simulator 2,-58%,"R$ 45,50",78.11%,Aug 2023
177,SENRAN KAGURA Peach Beach Splash,-70%,"R$ 17,39",78.06%,Mar 2018
178,Not Tonight 2,-75%,"R$ 9,49",78.04%,Feb 2022
179,Song Of The Prairie,-30%,"R$ 41,99",77.63%,Aug 2024
180,DeathSprint 66,-33%,"R$ 49,57",77.20%,Sep 2024
181,"Warhammer 40,000: Inquisitor - Prophecy",-80%,"R$ 14,79",76.88%,Jul 2019
182,Barista Simulator,-70%,"R$ 14,09",76.85%,May 2023
183,Ultros,-50%,"R$ 36,99",76.80%,Feb 2024
184,Zwei: The Arges Adventure,-70%,"R$ 8,69",76.69%,Jan 2018
185,No More Heroes,-50%,"R$ 49,99",76.02%,Jun 2021
186,STORY OF SEASONS: A Wonderful Life,-50%,"R$ 64,99",75.09%,Jun 2023
187,Spacelines from the Far Out,-70%,"R$ 5,99",74.94%,Jun 2022
188,Cuisineer,-30%,"R$ 55,99",74.73%,Nov 2023
189,Rune Factory 5,-60%,"R$ 43,19",74.71%,Jul 2022
190,Necrosmith 2,-50%,"R$ 13,24",74.64%,Mar 2024
191,"Warhammer 40,000: Inquisitor - Martyr",-80%,"R$ 26,99",74.16%,Jun 2018
192,Total War: ROME REMASTERED,-66%,"R$ 42,67",73.79%,Apr 2021
193,Headquarters: World War II,-35%,"R$ 70,19",73.36%,Apr 2024
194,Corpse Party: Blood Drive,-60%,"R$ 15,19",72.78%,Oct 2019
195,UPPERS,-75%,"R$ 14,49",72.61%,Oct 2020
196,Land Above Sea Below,-55%,"R$ 11,92",72.10%,Sep 2023
197,AKIBA'S TRIP: Hellbound & Debriefed,-60%,"R$ 23,99",71.88%,Jul 2021
198,Total War: THREE KINGDOMS,-66%,"R$ 50,99",71.28%,May 2019
199,Touhou: New World,-60%,"R$ 35,99",70.44%,Jul 2023
200,A Total War Saga: TROY,-50%,"R$ 79,99",69.58%,Sep 2021
201,A Total War Saga: THRONES OF BRITANNIA,-75%,"R$ 24,99",68.93%,May 2018
202,Corpse Party 2: Dead Patient,-30%,"R$ 14,48",68.74%,Oct 2019
203,Medieval: Total War™ - Collection,-75%,"R$ 6,24",68.37%,Aug 2002
204,No More Heroes 2: Desperate Struggle,-50%,"R$ 49,99",68.10%,Jun 2021
205,Millennia,-50%,"R$ 84,99",67.09%,Mar 2024
206,DEADCRAFT,-75%,"R$ 14,99",66.70%,May 2022
207,Bullet Witch,-70%,"R$ 8,69",66.65%,Apr 2018
208,Silent Hope,-70%,"R$ 41,99",66.60%,Oct 2023
209,Great Houses of Calderia,-60%,"R$ 25,99",65.62%,May 2024
210,Dustborn,-50%,"R$ 57,49",65.26%,Aug 2024
211,ServiceIT: You can do IT,-52%,"R$ 30,94",64.49%,Mar 2024
212,Age of Water,-50%,"R$ 74,50",64.02%,Apr 2024
213,Total War: PHARAOH,-50%,"R$ 62,75",63.19%,Oct 2023
214,Little King's Story,-75%,"R$ 7,24",59.57%,Aug 2016
215,Loop8: Summer of Gods,-75%,"R$ 26,99",48.50%,Jun 2023
216,Papa's Freezeria Deluxe,-20%,"R$ 16,39",96.17%,Mar 2023
217,Garry's Mod,-40%,"R$ 15,59",96.04%,Nov 2006
218,A Building Full of Cats,-20%,"R$ 4,72",94.93%,Jul 2022
219,Riddle Joker,-42%,"R$ 59,15",94.87%,Dec 2020
220,Until Then,-25%,"R$ 44,99",94.47%,Jun 2024
221,Café Stella and the Reaper's Butterflies,-32%,"R$ 69,35",94.44%,Mar 2022
222,Aokana - Four Rhythms Across the Blue,-50%,"R$ 50,99",94.27%,Sep 2019
223,Tiny Glade,-10%,"R$ 42,29",94.14%,Sep 2024
224,Smushi Come Home,-20%,"R$ 47,99",93.99%,Jun 2023
225,Dungeon Munchies,-20%,"R$ 30,39",93.95%,Jul 2022
226,Kenshi,-60%,"R$ 23,19",93.91%,Dec 2018
227,DREDGE,-40%,"R$ 58,19",93.86%,Mar 2023
228,Bugsnax,-60%,"R$ 18,99",93.82%,Apr 2022
229,OPUS: Echo of Starsong - Full Bloom Edition,-50%,"R$ 36,99",93.58%,Sep 2021
230,HROT,-35%,"R$ 38,99",93.55%,May 2023
231,Aokana - Four Rhythms Across the Blue - EXTRA1,-42%,"R$ 30,44",93.23%,Nov 2020
232,Pilgrims,-75%,"R$ 4,99",93.08%,Oct 2019
233,Machinarium,-80%,"R$ 10,99",93.05%,Oct 2009
234,Nova Drift,-3%,"R$ 25,44",93.00%,Aug 2024
235,Dream Ending,-40%,"R$ 7,20",92.85%,Jul 2019
236,Seal World,-20%,"R$ 13,59",92.63%,Dec 2023
237,XCOM: Enemy Unknown,-80%,"R$ 13,99",92.62%,Oct 2012
238,BioShock Infinite,-75%,"R$ 22,49",92.53%,Mar 2013
239,ARMORED HEAD,-40%,"R$ 6,53",92.47%,Jul 2020
240,Arctic Eggs,-20%,"R$ 26,39",92.41%,May 2024
241,Botanicula,-80%,"R$ 7,99",92.40%,May 2012
242,No Time,-20%,"R$ 18,23",92.29%,Apr 2019
243,BioShock™,-75%,"R$ 7,49",92.20%,Aug 2007
244,Rain World,-26%,"R$ 71,98",92.18%,Mar 2017
245,Symphony of War: The Nephilim Saga,-50%,"R$ 29,99",92.16%,Jun 2022
246,The Procession to Calvary,-55%,"R$ 13,49",92.10%,Apr 2020
247,Shogun Showdown,-20%,"R$ 37,59",91.91%,Sep 2024
248,Disco Elysium - The Final Cut,-75%,"R$ 18,87",91.89%,Oct 2019
249,泡沫冬景,-55%,"R$ 13,04",91.87%,Jan 2020
250,Long Live The Queen,-65%,"R$ 9,09",91.84%,Nov 2013
251,inbento,-75%,"R$ 4,24",91.81%,Sep 2019
252,Doom & Destiny,-70%,"R$ 8,99",91.74%,Aug 2011
253,Kinkoi: Golden Loveriche,-38%,"R$ 63,23",91.73%,Jun 2021
254,My Brother Rabbit,-75%,"R$ 7,24",91.68%,Sep 2018
255,Scalak,-50%,"R$ 5,24",91.68%,May 2018
256,Beat Hazard,-70%,"R$ 9,89",91.58%,Apr 2010
257,Creaks,-75%,"R$ 13,74",91.40%,Jul 2020
258,Necesse,-35%,"R$ 30,54",91.37%,Dec 2019
259,Warsim: The Realm of Aslona,-50%,"R$ 14,99",91.31%,Dec 2022
260,FIND ALL 4: Magic,-26%,"R$ 5,17",91.30%,Sep 2023
261,"Cook, Serve, Delicious!",-80%,"R$ 3,99",91.23%,Oct 2013
262,Kinkoi: Golden Time,-37%,"R$ 56,06",91.17%,Jul 2022
263,Gaokao.Love.100Days,-40%,"R$ 17,40",91.14%,May 2015
264,Tiny Snow,-40%,"R$ 7,20",91.13%,Feb 2019
265,Zenge,-50%,"R$ 3,49",91.09%,Apr 2016
266,Hamidashi Creative,-30%,"R$ 62,29",91.03%,Sep 2022
267,I wanna be the Creator,-30%,"R$ 8,67",91.00%,Nov 2019
268,Terminus: Zombie Survivors,-25%,"R$ 44,99",90.91%,Aug 2024
269,Staffer Case: A Supernatural Mystery Adventure,-31%,"R$ 26,55",90.87%,Apr 2023
270,Grim Legends 2: Song of the Dark Swan,-70%,"R$ 14,09",90.86%,Sep 2014
271,Samorost 3,-80%,"R$ 10,99",90.82%,Mar 2016
272,Kaori After Story,-75%,"R$ 8,24",90.78%,Dec 2018
273,PARQUET,-45%,"R$ 28,86",90.77%,Aug 2021
274,Making*Lovers,-50%,"R$ 44,49",90.72%,Apr 2020
275,Grim Legends: The Forsaken Bride,-75%,"R$ 11,74",90.68%,Feb 2014
276,Frog Detective 2: The Case of the Invisible Wizard,-45%,"R$ 9,34",90.66%,Dec 2019
277,Trackmania United Forever,-50%,"R$ 44,99",90.65%,Apr 2008
278,Her New Memory - Hentai Simulator,-66%,"R$ 11,21",90.60%,Feb 2022
279,Trailmakers,-75%,"R$ 11,87",90.53%,Sep 2019
280,Original War,-80%,"R$ 7,99",90.41%,Jun 2001
281,Four Last Things,-75%,"R$ 7,49",90.41%,Feb 2017
282,Arma 2: Operation Arrowhead,-80%,"R$ 9,99",90.35%,Jun 2010
283,Burger Shop,-50%,"R$ 7,24",90.25%,Oct 2007
284,ACE Academy,-75%,"R$ 14,99",90.23%,Aug 2016
